data,mes,grupo,variavel,valor,tabela
2000-05-01,200005,1.Alimentação e bebidas,IPCA - Variação mensal,-0.67,655
2000-06-01,200006,1.Alimentação e bebidas,IPCA - Variação mensal,0.11,655
2000-07-01,200007,1.Alimentação e bebidas,IPCA - Variação mensal,1.78,655
2000-08-01,200008,1.Alimentação e bebidas,IPCA - Variação mensal,2.07,655
2000-09-01,200009,1.Alimentação e bebidas,IPCA - Variação mensal,0.53,655
2000-10-01,200010,1.Alimentação e bebidas,IPCA - Variação mensal,0.16,655
2000-11-01,200011,1.Alimentação e bebidas,IPCA - Variação mensal,-0.07,655
2000-12-01,200012,1.Alimentação e bebidas,IPCA - Variação mensal,-0.48,655
2001-01-01,200101,1.Alimentação e bebidas,IPCA - Variação mensal,0.63,655
2001-02-01,200102,1.Alimentação e bebidas,IPCA - Variação mensal,0.05,655
2001-03-01,200103,1.Alimentação e bebidas,IPCA - Variação mensal,1.17,655
2001-04-01,200104,1.Alimentação e bebidas,IPCA - Variação mensal,1.8,655
2001-05-01,200105,1.Alimentação e bebidas,IPCA - Variação mensal,0.58,655
2001-06-01,200106,1.Alimentação e bebidas,IPCA - Variação mensal,0.1,655
2001-07-01,200107,1.Alimentação e bebidas,IPCA - Variação mensal,0.67,655
2001-08-01,200108,1.Alimentação e bebidas,IPCA - Variação mensal,0.83,655
2001-09-01,200109,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,655
2001-10-01,200110,1.Alimentação e bebidas,IPCA - Variação mensal,1.15,655
2001-11-01,200111,1.Alimentação e bebidas,IPCA - Variação mensal,1.31,655
2001-12-01,200112,1.Alimentação e bebidas,IPCA - Variação mensal,0.56,655
2002-01-01,200201,1.Alimentação e bebidas,IPCA - Variação mensal,0.85,655
2002-02-01,200202,1.Alimentação e bebidas,IPCA - Variação mensal,0.2,655
2002-03-01,200203,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,655
2002-04-01,200204,1.Alimentação e bebidas,IPCA - Variação mensal,-0.32,655
2002-05-01,200205,1.Alimentação e bebidas,IPCA - Variação mensal,-0.59,655
2002-06-01,200206,1.Alimentação e bebidas,IPCA - Variação mensal,0.08,655
2002-07-01,200207,1.Alimentação e bebidas,IPCA - Variação mensal,1.05,655
2002-08-01,200208,1.Alimentação e bebidas,IPCA - Variação mensal,1.94,655
2002-09-01,200209,1.Alimentação e bebidas,IPCA - Variação mensal,1.96,655
2002-10-01,200210,1.Alimentação e bebidas,IPCA - Variação mensal,2.79,655
2002-11-01,200211,1.Alimentação e bebidas,IPCA - Variação mensal,5.85,655
2002-12-01,200212,1.Alimentação e bebidas,IPCA - Variação mensal,3.91,655
2003-01-01,200301,1.Alimentação e bebidas,IPCA - Variação mensal,2.15,655
2003-02-01,200302,1.Alimentação e bebidas,IPCA - Variação mensal,1.22,655
2003-03-01,200303,1.Alimentação e bebidas,IPCA - Variação mensal,1.66,655
2003-04-01,200304,1.Alimentação e bebidas,IPCA - Variação mensal,1.01,655
2003-05-01,200305,1.Alimentação e bebidas,IPCA - Variação mensal,0.63,655
2003-06-01,200306,1.Alimentação e bebidas,IPCA - Variação mensal,-0.34,655
2003-07-01,200307,1.Alimentação e bebidas,IPCA - Variação mensal,-0.67,655
2003-08-01,200308,1.Alimentação e bebidas,IPCA - Variação mensal,-0.27,655
2003-09-01,200309,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,655
2003-10-01,200310,1.Alimentação e bebidas,IPCA - Variação mensal,0.46,655
2003-11-01,200311,1.Alimentação e bebidas,IPCA - Variação mensal,0.25,655
2003-12-01,200312,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,655
2004-01-01,200401,1.Alimentação e bebidas,IPCA - Variação mensal,0.88,655
2004-02-01,200402,1.Alimentação e bebidas,IPCA - Variação mensal,0.15,655
2004-03-01,200403,1.Alimentação e bebidas,IPCA - Variação mensal,0.43,655
2004-04-01,200404,1.Alimentação e bebidas,IPCA - Variação mensal,-0.34,655
2004-05-01,200405,1.Alimentação e bebidas,IPCA - Variação mensal,0.23,655
2004-06-01,200406,1.Alimentação e bebidas,IPCA - Variação mensal,0.72,655
2004-07-01,200407,1.Alimentação e bebidas,IPCA - Variação mensal,0.67,655
2004-08-01,200408,1.Alimentação e bebidas,IPCA - Variação mensal,0.85,655
2004-09-01,200409,1.Alimentação e bebidas,IPCA - Variação mensal,-0.19,655
2004-10-01,200410,1.Alimentação e bebidas,IPCA - Variação mensal,-0.23,655
2004-11-01,200411,1.Alimentação e bebidas,IPCA - Variação mensal,-0.01,655
2004-12-01,200412,1.Alimentação e bebidas,IPCA - Variação mensal,0.65,655
2005-01-01,200501,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,655
2005-02-01,200502,1.Alimentação e bebidas,IPCA - Variação mensal,0.49,655
2005-03-01,200503,1.Alimentação e bebidas,IPCA - Variação mensal,0.26,655
2005-04-01,200504,1.Alimentação e bebidas,IPCA - Variação mensal,0.81,655
2005-05-01,200505,1.Alimentação e bebidas,IPCA - Variação mensal,0.65,655
2005-06-01,200506,1.Alimentação e bebidas,IPCA - Variação mensal,-0.67,655
2005-07-01,200507,1.Alimentação e bebidas,IPCA - Variação mensal,-0.77,655
2005-08-01,200508,1.Alimentação e bebidas,IPCA - Variação mensal,-0.73,655
2005-09-01,200509,1.Alimentação e bebidas,IPCA - Variação mensal,-0.25,655
2005-10-01,200510,1.Alimentação e bebidas,IPCA - Variação mensal,0.27,655
2005-11-01,200511,1.Alimentação e bebidas,IPCA - Variação mensal,0.88,655
2005-12-01,200512,1.Alimentação e bebidas,IPCA - Variação mensal,0.27,655
2006-01-01,200601,1.Alimentação e bebidas,IPCA - Variação mensal,0.11,655
2006-02-01,200602,1.Alimentação e bebidas,IPCA - Variação mensal,-0.28,655
2006-03-01,200603,1.Alimentação e bebidas,IPCA - Variação mensal,-0.24,655
2006-04-01,200604,1.Alimentação e bebidas,IPCA - Variação mensal,-0.27,655
2006-05-01,200605,1.Alimentação e bebidas,IPCA - Variação mensal,-0.03,655
2006-06-01,200606,1.Alimentação e bebidas,IPCA - Variação mensal,-0.61,655
2006-07-01,200607,1.Alimentação e bebidas,IPCA - Variação mensal,0.09,2938
2006-08-01,200608,1.Alimentação e bebidas,IPCA - Variação mensal,0.07,2938
2006-09-01,200609,1.Alimentação e bebidas,IPCA - Variação mensal,0.08,2938
2006-10-01,200610,1.Alimentação e bebidas,IPCA - Variação mensal,0.88,2938
2006-11-01,200611,1.Alimentação e bebidas,IPCA - Variação mensal,1.05,2938
2006-12-01,200612,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,2938
2007-01-01,200701,1.Alimentação e bebidas,IPCA - Variação mensal,0.84,2938
2007-02-01,200702,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,2938
2007-03-01,200703,1.Alimentação e bebidas,IPCA - Variação mensal,0.98,2938
2007-04-01,200704,1.Alimentação e bebidas,IPCA - Variação mensal,0.03,2938
2007-05-01,200705,1.Alimentação e bebidas,IPCA - Variação mensal,0.16,2938
2007-06-01,200706,1.Alimentação e bebidas,IPCA - Variação mensal,1.09,2938
2007-07-01,200707,1.Alimentação e bebidas,IPCA - Variação mensal,1.27,2938
2007-08-01,200708,1.Alimentação e bebidas,IPCA - Variação mensal,1.39,2938
2007-09-01,200709,1.Alimentação e bebidas,IPCA - Variação mensal,0.44,2938
2007-10-01,200710,1.Alimentação e bebidas,IPCA - Variação mensal,0.52,2938
2007-11-01,200711,1.Alimentação e bebidas,IPCA - Variação mensal,0.73,2938
2007-12-01,200712,1.Alimentação e bebidas,IPCA - Variação mensal,2.06,2938
