capital,valor,var_mensal,pct_sal,tempo,var_ano,var_12,aammes
RECIFE,132.31,7.58,55.1,111h57m,,-3.01,200501
JOÃO PESSOA,133.6,5.92,55.64,113h03m,,-2.12,200501
NATAL,137.09,4.01,57.09,116h00m,,-3.6,200501
VITÓRIA,157.96,3.66,65.79,133h40m,,6.64,200501
CURITIBA,160.1,2.69,66.68,135h28m,,-0.29,200501
GOIÂNIA,151.78,1.94,63.21,128h26m,,3.48,200501
BELÉM,152.2,1.67,63.39,128h47m,,2.97,200501
SALVADOR,127.85,1.6,53.25,108h11m,,-10.96,200501
BRASÍLIA,170.62,1.12,71.06,144h22m,,2.54,200501
SÃO PAULO,172.87,0.39,72.0,146h16m,,1.08,200501
FORTALEZA,125.2,0.38,52.14,105h56m,,-7.8,200501
FLORIANÓPOLIS,157.47,0.03,65.58,133h15m,,2.33,200501
RIO DE JANEIRO,164.81,-0.34,68.64,139h27m,,-1.24,200501
ARACAJU,130.45,-0.65,54.33,110h23m,,-11.06,200501
BELO HORIZONTE,150.56,-1.12,62.7,127h24m,,-5.26,200501
PORTO ALEGRE,168.8,-3.4,70.3,142h50m,,-1.89,200501
SALVADOR,133.74,4.61,55.7,113h10m,6.28,,200502
PORTO ALEGRE,175.57,4.01,73.12,148h34m,0.47,3.69,200502
VITÓRIA,163.69,3.63,68.17,138h30m,7.42,11.16,200502
ARACAJU,134.93,3.43,56.2,114h10m,2.76,,200502
RIO DE JANEIRO,169.79,3.02,70.71,143h40m,2.67,4.87,200502
CURITIBA,164.13,2.52,68.36,138h33m,5.27,4.0,200502
NATAL,140.52,2.5,58.52,118h54m,6.62,0.79,200502
BELÉM,155.26,2.01,64.66,131h22m,3.71,6.34,200502
SÃO PAULO,175.04,1.26,72.9,148h07m,1.65,4.81,200502
GOIÂNIA,153.51,1.14,63.93,129h54m,3.1,3.81,200502
FLORIANÓPOLIS,159.18,1.09,66.29,134h41m,1.12,6.25,200502
JOÃO PESSOA,134.13,0.4,55.86,113h30m,6.34,-4.47,200502
BELO HORIZONTE,150.97,0.27,62.88,127h45m,-0.85,-3.39,200502
FORTALEZA,124.91,-0.23,52.02,105h42m,0.14,-10.25,200502
BRASÍLIA,170.1,-0.3,70.84,143h53m,0.81,3.23,200502
RECIFE,130.79,-1.15,54.47,110h40m,6.34,-6.79,200502
BELO HORIZONTE,157.47,4.31,65.85,133h15m,3.41,1.92,200503
FORTALEZA,127.42,2.01,53.07,107h49m,2.16,-11.29,200503
GOIÂNIA,156.48,1.93,65.17,132h24m,5.1,6.22,200503
FLORIANÓPOLIS,161.74,1.61,67.36,136h51m,2.74,9.53,200503
CURITIBA,166.32,1.33,69.27,140h44m,6.68,7.7,200503
SÃO PAULO,175.87,0.47,73.25,148h49m,2.13,5.34,200503
RECIFE,131.19,0.31,54.64,111h00m,6.67,-4.55,200503
PORTO ALEGRE,175.64,0.04,73.15,148h37m,0.51,7.23,200503
BELÉM,154.69,-0.37,64.42,130h53m,3.33,5.28,200503
SALVADOR,132.6,-0.85,55.22,112h12m,5.37,,200503
JOÃO PESSOA,132.8,-0.99,55.31,112h22m,5.29,-5.14,200503
ARACAJU,133.58,-1.0,55.63,113h02m,1.73,,200503
RIO DE JANEIRO,167.02,-1.63,69.56,141h19m,0.99,5.33,200503
BRASÍLIA,167.29,-1.65,69.67,141h33m,-0.85,2.68,200503
VITÓRIA,159.26,-2.71,66.33,134h46m,4.52,6.87,200503
NATAL,133.18,-5.22,55.47,112h41m,1.05,-6.98,200503
BELO HORIZONTE,167.75,6.53,69.86,141h57m,10.17,9.41,200504
FORTALEZA,134.36,5.45,55.96,113h41m,7.72,-2.09,200504
PORTO ALEGRE,183.15,4.28,76.28,154h58m,4.81,11.64,200504
NATAL,138.72,4.16,57.77,117h23m,5.25,0.09,200504
VITÓRIA,165.19,3.72,68.8,139h47m,8.41,12.99,200504
RECIFE,135.7,3.44,56.52,114h49m,10.33,-1.74,200504
CURITIBA,171.69,3.23,71.5,145h17m,10.12,9.85,200504
FLORIANÓPOLIS,166.9,3.19,69.51,141h13m,6.02,16.69,200504
SÃO PAULO,180.93,2.88,75.35,153h06m,5.07,9.65,200504
ARACAJU,137.41,2.87,57.23,116h16m,4.65,,200504
BRASÍLIA,171.47,2.5,71.41,145h05m,1.62,7.59,200504
RIO DE JANEIRO,170.21,1.91,70.89,144h01m,2.92,10.82,200504
GOIÂNIA,158.27,1.14,65.92,133h55m,6.3,8.86,200504
JOÃO PESSOA,133.94,0.86,55.78,113h20m,6.19,-1.85,200504
BELÉM,155.37,0.44,64.71,131h28m,3.79,4.7,200504
SALVADOR,131.57,-0.78,54.8,111h20m,4.55,,200504
BRASÍLIA,186.78,8.93,67.42,136h58m,10.7,17.12,200505
RECIFE,146.96,8.3,53.04,107h46m,19.49,10.35,200505
BELO HORIZONTE,180.36,7.52,65.1,132h16m,18.45,11.55,200505
SALVADOR,140.4,6.71,50.68,102h58m,11.57,1.31,200505
FORTALEZA,142.41,5.99,51.4,104h26m,14.17,4.76,200505
RIO DE JANEIRO,179.82,5.65,64.91,131h52m,8.73,11.86,200505
JOÃO PESSOA,139.85,4.41,50.48,102h33m,10.88,1.52,200505
BELÉM,162.1,4.33,58.51,118h52m,8.28,8.43,200505
SÃO PAULO,188.63,4.26,68.09,138h20m,9.54,11.83,200505
ARACAJU,143.03,4.09,51.63,104h53m,8.93,4.14,200505
VITÓRIA,170.76,3.37,61.64,125h13m,12.06,15.87,200505
PORTO ALEGRE,189.12,3.26,68.26,138h41m,8.22,4.39,200505
CURITIBA,177.15,3.18,63.94,129h55m,13.62,8.82,200505
NATAL,140.73,1.45,50.8,103h12m,6.78,2.14,200505
FLORIANÓPOLIS,168.85,1.17,60.95,123h49m,7.26,8.17,200505
GOIÂNIA,158.94,0.42,57.37,116h33m,6.75,10.79,200505
ARACAJU,147.4,3.06,53.2,108h06m,12.25,6.48,200506
JOÃO PESSOA,144.04,3.0,51.99,105h38m,14.2,8.22,200506
FORTALEZA,145.2,1.96,52.41,106h29m,16.41,4.81,200506
RECIFE,148.44,1.01,53.58,108h51m,20.69,12.2,200506
NATAL,139.74,-0.7,50.44,102h29m,6.02,,200506
GOIÂNIA,157.43,-0.95,56.82,115h27m,5.74,6.05,200506
FLORIANÓPOLIS,165.85,-1.78,59.86,121h37m,5.36,1.36,200506
SALVADOR,136.95,-2.46,49.43,100h26m,8.83,0.63,200506
SÃO PAULO,183.14,-2.91,66.1,134h18m,6.35,4.71,200506
PORTO ALEGRE,182.05,-3.74,65.71,133h30m,4.18,-0.56,200506
RIO DE JANEIRO,172.26,-4.2,62.18,126h19m,4.16,0.78,200506
VITÓRIA,162.89,-4.61,58.79,119h27m,6.9,2.97,200506
CURITIBA,168.4,-4.94,60.78,123h30m,8.01,,200506
BELÉM,153.86,-5.08,55.54,112h50m,2.78,1.95,200506
BELO HORIZONTE,168.07,-6.81,60.66,123h15m,10.38,1.95,200506
BRASÍLIA,173.01,-7.37,62.45,126h52m,2.54,4.57,200506
SALVADOR,133.57,-0.49,48.21,97h57m,6.14,-4.92,200508
PORTO ALEGRE,172.86,-1.08,62.39,126h46m,-1.08,-9.02,200508
BRASÍLIA,162.44,-1.63,58.63,119h07m,-3.73,,200508
SÃO PAULO,175.12,-1.74,63.21,128h25m,1.7,-3.92,200508
NATAL,137.74,1.79,49.72,101h01m,,4.51,200508
RIO DE JANEIRO,164.54,-2.41,59.39,120h40m,-0.51,,200508
BELÉM,145.35,-2.75,52.46,106h35m,-2.91,-8.13,200508
BELO HORIZONTE,159.83,-3.06,57.69,117h13m,4.96,-9.3,200508
GOIÂNIA,147.69,-3.27,53.31,108h18m,-0.81,,200508
ARACAJU,135.04,-3.49,48.74,99h02m,2.84,-10.06,200508
CURITIBA,156.64,-4.03,56.54,114h52m,0.47,,200508
FORTALEZA,134.42,-4.18,48.52,98h34m,7.77,,200508
FLORIANÓPOLIS,154.82,-5.49,55.88,113h32m,-1.65,-11.85,200508
VITÓRIA,150.78,-6.06,54.42,110h34m,-1.05,,200508
JOÃO PESSOA,134.75,-6.36,48.64,98h49m,6.83,-10.21,200508
RECIFE,134.26,-6.37,48.46,98h27m,9.16,,200508
FLORIANÓPOLIS,157.64,1.82,56.9,115h36m,0.14,,200509
CURITIBA,158.05,0.9,57.05,115h54m,1.37,,200509
PORTO ALEGRE,173.6,0.43,62.66,127h18m,-0.66,-4.81,200509
BELÉM,145.52,0.12,52.52,106h43m,-2.79,-5.9,200509
ARACAJU,133.11,-1.43,48.05,97h37m,1.37,,200509
FORTALEZA,132.44,-1.47,47.8,97h07m,6.18,,200509
SÃO PAULO,172.34,-1.59,62.21,126h23m,0.08,-3.38,200509
VITÓRIA,148.33,-1.62,53.54,108h47m,-2.66,,200509
RIO DE JANEIRO,161.79,-1.67,58.4,118h39m,-2.17,,200509
BRASÍLIA,158.74,-2.28,57.3,116h25m,-5.92,,200509
RECIFE,130.22,-3.01,47.0,95h30m,5.88,,200509
BELO HORIZONTE,154.97,-3.04,55.94,113h39m,1.77,-6.67,200509
JOÃO PESSOA,130.07,-3.47,46.95,95h23m,3.12,,200509
GOIÂNIA,141.81,-3.98,51.19,104h00m,-4.76,-4.63,200509
SALVADOR,128.2,-4.02,46.27,94h01m,1.88,-3.3,200509
NATAL,131.6,4.46,47.5,96h30m,,-0.15,200509
CURITIBA,164.57,4.13,59.4,120h41m,5.55,1.01,200510
BRASÍLIA,164.77,3.8,59.47,120h50m,-2.35,-2.64,200510
FLORIANÓPOLIS,162.93,3.36,58.81,119h29m,3.5,,200510
VITÓRIA,152.78,3.0,55.15,112h02m,0.26,0.62,200510
BELO HORIZONTE,157.58,1.68,56.88,115h34m,3.49,-6.62,200510
RIO DE JANEIRO,164.47,1.66,59.36,120h37m,-0.55,,200510
SÃO PAULO,174.77,1.41,63.08,128h10m,1.49,-1.34,200510
JOÃO PESSOA,131.35,0.98,47.41,96h19m,4.14,,200510
RECIFE,131.44,0.94,47.44,96h23m,6.87,6.16,200510
BELÉM,146.45,0.64,52.86,107h24m,-2.17,-1.76,200510
ARACAJU,133.4,0.22,48.15,97h50m,1.59,1.45,200510
NATAL,131.71,0.08,47.54,96h35m,-0.07,,200510
GOIÂNIA,140.27,-1.09,50.63,102h52m,-5.79,-4.73,200510
FORTALEZA,129.92,-1.9,46.89,95h16m,4.16,1.97,200510
SALVADOR,124.39,-2.97,44.9,91h13m,-1.15,-0.88,200510
PORTO ALEGRE,168.34,-3.03,60.76,123h27m,-3.67,-6.38,200510
BELO HORIZONTE,172.27,9.32,62.18,126h20m,13.13,10.44,200511
VITÓRIA,165.43,8.28,59.71,121h19m,8.56,11.47,200511
SALVADOR,134.59,8.2,48.58,98h42m,6.95,8.85,200511
FLORIANÓPOLIS,175.3,7.59,63.27,128h33m,11.36,11.34,200511
RECIFE,141.29,7.49,51.0,103h37m,14.88,16.18,200511
RIO DE JANEIRO,176.31,7.2,63.64,129h18m,6.61,7.39,200511
PORTO ALEGRE,178.59,6.09,64.46,130h58m,2.2,4.21,200511
SÃO PAULO,184.67,5.66,66.66,135h25m,7.24,7.96,200511
BRASÍLIA,173.0,4.99,62.44,126h52m,2.53,5.55,200511
CURITIBA,172.59,4.87,62.3,126h34m,10.7,9.14,200511
ARACAJU,138.44,3.78,49.97,101h31m,5.43,7.38,200511
JOÃO PESSOA,136.2,3.69,49.16,99h53m,7.98,6.29,200511
NATAL,136.35,3.52,49.21,99h59m,3.45,6.71,200511
GOIÂNIA,144.91,3.31,52.3,106h16m,-2.67,-1.68,200511
BELÉM,149.97,2.4,54.13,109h59m,0.18,0.45,200511
FORTALEZA,130.31,0.3,47.03,95h34m,4.47,4.52,200511
BELO HORIZONTE,176.88,16.16,63.84,129h43m,,2.68,200512
JOÃO PESSOA,144.6,14.64,52.19,106h02m,,6.17,200512
RECIFE,140.31,14.08,50.64,102h54m,,0.69,200512
CURITIBA,176.92,13.48,63.86,129h44m,,2.51,200512
ARACAJU,145.3,10.65,52.45,106h33m,,4.96,200512
FLORIANÓPOLIS,172.62,9.66,62.31,126h35m,,1.53,200512
PORTO ALEGRE,191.3,9.47,69.05,140h17m,,7.12,200512
VITÓRIA,165.61,8.68,59.78,121h27m,,0.11,200512
SALVADOR,136.2,8.23,49.16,99h53m,,1.2,200512
RIO DE JANEIRO,178.09,7.69,64.28,130h36m,,1.01,200512
FORTALEZA,133.04,6.66,48.02,97h34m,,2.09,200512
SÃO PAULO,183.43,6.52,66.21,134h31m,,0.67,200512
BRASÍLIA,177.2,5.02,63.96,129h57m,,2.43,200512
BELÉM,156.77,4.72,56.59,114h58m,,4.53,200512
NATAL,135.92,3.13,49.06,99h40m,,-0.32,200512
GOIÂNIA,149.12,0.15,53.82,109h21m,,2.91,200512
GOIÂNIA,151.28,1.45,54.6,110h56m,1.45,-0.33,200601
BELÉM,158.06,0.82,57.05,115h55m,0.82,3.85,200601
BRASÍLIA,178.14,0.53,64.3,130h38m,0.53,4.41,200601
VITÓRIA,165.15,-0.28,59.61,121h07m,-0.28,4.55,200601
FORTALEZA,132.17,0.65,47.71,96h55m,,-0.65,200601
RIO DE JANEIRO,172.8,-2.97,62.37,126h43m,-2.97,4.85,200601
SÃO PAULO,177.45,-3.26,64.05,130h08m,,3.26,200601
BELO HORIZONTE,169.0,-4.45,61.0,123h56m,-4.45,12.25,200601
SALVADOR,128.51,5.65,46.39,94h14m,,-5.65,200601
NATAL,127.67,6.07,46.08,93h37m,,-6.07,200601
ARACAJU,135.08,7.03,48.76,99h04m,,-7.03,200601
FLORIANÓPOLIS,159.21,7.77,57.47,116h45m,,,200601
CURITIBA,163.16,7.78,58.89,119h39m,,-7.78,200601
JOÃO PESSOA,131.51,9.05,47.47,96h26m,,-9.05,200601
RECIFE,126.03,-10.18,45.49,92h25m,-10.18,-4.75,200601
PORTO ALEGRE,170.22,-11.02,61.44,124h50m,-11.02,0.84,200601
NATAL,132.78,4.0,47.93,97h22m,-2.31,-5.51,200602
FLORIANÓPOLIS,160.93,1.08,58.09,118h01m,,6.77,200602
RECIFE,127.28,0.99,45.94,93h20m,,9.29,200602
RIO DE JANEIRO,172.61,-0.11,62.3,126h35m,-3.08,1.66,200602
SALVADOR,128.12,0.3,46.24,93h57m,,-5.93,200602
GOIÂNIA,149.85,-0.95,54.09,109h53m,0.49,-2.38,200602
SÃO PAULO,175.54,-1.08,63.36,128h44m,,4.3,200602
ARACAJU,133.41,1.24,48.15,97h50m,,-8.18,200602
JOÃO PESSOA,129.61,1.44,46.78,95h03m,,-10.37,200602
BRASÍLIA,174.14,2.25,62.86,127h42m,,-1.73,200602
PORTO ALEGRE,166.2,2.36,59.99,121h53m,,-13.12,200602
CURITIBA,159.21,2.42,57.47,116h45m,,-10.01,200602
VITÓRIA,159.41,-3.48,57.54,116h54m,-3.74,-2.61,200602
FORTALEZA,127.5,3.53,46.02,93h30m,,-4.16,200602
BELO HORIZONTE,162.75,-3.7,58.74,119h21m,-7.99,7.8,200602
BELÉM,144.9,-8.33,52.3,106h16m,-7.57,-6.67,200602
RECIFE,133.46,4.86,48.17,97h52m,,4.88,200603
SALVADOR,134.03,4.61,48.38,98h17m,-1.59,1.08,200603
JOÃO PESSOA,134.25,3.58,48.46,98h27m,,7.16,200603
ARACAJU,136.22,2.11,49.17,99h54m,-6.25,1.98,200603
CURITIBA,161.61,1.51,58.33,118h31m,,8.65,200603
BELO HORIZONTE,164.98,1.37,59.55,120h59m,-6.73,4.77,200603
SÃO PAULO,177.28,0.99,63.99,130h00m,,3.35,200603
BELÉM,146.29,0.96,52.8,107h17m,-6.68,-5.43,200603
VITÓRIA,160.61,0.75,57.97,117h47m,-3.02,0.85,200603
GOIÂNIA,149.67,-0.12,54.02,109h45m,0.37,-4.35,200603
NATAL,132.26,-0.39,47.74,96h59m,-2.69,-0.69,200603
BRASÍLIA,173.29,0.49,62.55,127h05m,,-2.21,200603
PORTO ALEGRE,164.1,1.26,59.23,120h20m,,-14.22,200603
FLORIANÓPOLIS,158.28,-1.65,57.13,116h04m,,8.31,200603
FORTALEZA,125.03,1.94,45.13,91h41m,,-6.02,200603
RIO DE JANEIRO,168.68,-2.28,60.88,123h42m,-5.28,0.99,200603
RECIFE,143.0,7.15,44.24,89h53m,1.92,5.38,200604
FLORIANÓPOLIS,168.89,6.7,52.25,106h10m,,2.16,200604
CURITIBA,172.24,6.58,53.29,108h16m,,2.65,200604
NATAL,140.94,6.56,43.6,88h35m,3.69,1.6,200604
BELÉM,154.14,5.37,47.69,96h53m,-1.68,-0.79,200604
JOÃO PESSOA,140.75,4.84,43.55,88h28m,,2.66,200604
ARACAJU,142.7,4.76,44.15,89h42m,-1.79,3.85,200604
PORTO ALEGRE,171.86,4.73,53.17,108h02m,-10.16,-6.16,200604
SALVADOR,139.82,4.32,43.26,87h53m,2.66,6.27,200604
RIO DE JANEIRO,175.64,4.13,54.34,110h24m,-1.38,3.19,200604
SÃO PAULO,182.95,3.2,56.6,115h00m,,0.26,200604
BELO HORIZONTE,170.22,3.18,52.66,107h00m,-3.77,1.47,200604
GOIÂNIA,153.77,2.74,47.57,96h39m,3.12,-2.84,200604
FORTALEZA,126.99,1.57,39.29,79h49m,-4.55,-5.49,200604
VITÓRIA,161.88,0.79,50.08,101h45m,-2.25,-2.0,200604
BRASÍLIA,168.93,2.52,52.26,106h11m,,-4.67,200604
RECIFE,151.03,5.62,46.73,94h56m,7.64,2.77,200605
FORTALEZA,133.77,5.34,41.39,84h05m,0.55,-6.07,200605
SALVADOR,147.07,5.19,45.5,92h27m,7.98,4.75,200605
JOÃO PESSOA,146.04,3.76,45.18,91h48m,1.0,4.43,200605
NATAL,144.96,2.85,44.85,91h07m,6.65,3.01,200605
BELÉM,156.19,1.33,48.32,98h11m,-0.37,-3.65,200605
PORTO ALEGRE,173.47,0.94,53.67,109h02m,,9.32,200605
VITÓRIA,163.37,0.92,50.54,102h41m,-1.35,-4.33,200605
BRASÍLIA,167.11,1.08,51.7,105h02m,,-5.69,200605
GOIÂNIA,150.53,-2.11,46.57,94h37m,0.95,-5.29,200605
SÃO PAULO,178.99,-2.16,55.38,112h30m,,2.42,200605
FLORIANÓPOLIS,164.13,-2.82,50.78,103h10m,,4.92,200605
BELO HORIZONTE,165.34,-2.87,51.15,103h56m,-6.52,-8.33,200605
ARACAJU,138.41,-3.01,42.82,87h00m,-4.74,-3.23,200605
CURITIBA,166.13,-3.55,51.4,104h25m,,6.1,200605
RIO DE JANEIRO,168.92,-3.83,52.26,106h11m,-5.15,-6.06,200605
FORTALEZA,137.18,2.55,42.44,86h14m,3.11,-5.52,200606
BELÉM,156.56,0.24,48.44,98h25m,-0.13,1.75,200606
GOIÂNIA,149.3,-0.82,46.19,93h51m,0.12,-5.16,200606
JOÃO PESSOA,143.99,-1.4,44.55,90h30m,-0.42,-0.03,200606
BRASÍLIA,163.52,-2.15,50.59,102h47m,-7.72,,200606
RIO DE JANEIRO,165.07,-2.28,51.07,103h45m,-7.31,-4.17,200606
PORTO ALEGRE,168.33,-2.96,52.08,105h48m,-12.01,-7.54,200606
ARACAJU,134.25,-3.01,41.53,84h23m,-7.6,-8.92,200606
FLORIANÓPOLIS,159.02,-3.11,49.2,99h57m,,7.88,200606
BELO HORIZONTE,159.97,-3.25,49.49,100h33m,-9.56,-4.82,200606
SÃO PAULO,172.31,-3.73,53.31,108h19m,,6.06,200606
CURITIBA,159.72,-3.86,49.41,100h24m,,9.72,200606
RECIFE,144.98,-4.01,44.85,91h08m,3.33,-2.33,200606
SALVADOR,140.87,-4.2,43.59,88h34m,3.44,2.88,200606
NATAL,137.83,-4.92,42.64,86h38m,1.41,-1.37,200606
VITÓRIA,152.32,-6.76,47.12,95h45m,-8.02,-6.49,200606
PORTO ALEGRE,171.02,1.6,52.91,107h30m,-10.6,-2.13,200607
FLORIANÓPOLIS,160.31,0.81,49.6,100h46m,,7.13,200607
ARACAJU,134.03,-0.16,41.47,84h15m,-7.76,-4.21,200607
NATAL,137.24,-0.43,42.46,86h16m,0.97,-2.15,200607
VITÓRIA,151.47,-0.56,46.86,95h13m,-8.54,-5.63,200607
BRASÍLIA,162.28,-0.76,50.21,102h00m,-8.42,,200607
SÃO PAULO,170.5,-1.05,52.75,107h10m,,7.05,200607
CURITIBA,157.86,-1.39,48.84,99h14m,-10.77,-3.28,200607
FORTALEZA,134.83,-1.71,41.71,84h45m,1.35,-3.89,200607
BELO HORIZONTE,156.75,-2.01,48.5,98h32m,-11.38,-4.92,200607
BELÉM,152.64,-2.5,47.22,95h57m,-2.63,2.13,200607
RIO DE JANEIRO,159.68,-3.27,49.4,100h22m,-10.34,-5.29,200607
GOIÂNIA,143.43,-3.93,44.37,90h09m,-3.82,-6.06,200607
SALVADOR,135.07,-4.13,41.79,84h54m,-0.83,0.63,200607
RECIFE,135.89,-6.27,42.04,85h25m,-3.15,-5.24,200607
JOÃO PESSOA,134.14,-6.84,41.5,84h19m,-7.23,-6.79,200607
BELO HORIZONTE,160.24,2.23,49.58,100h43m,,9.41,200608
PORTO ALEGRE,171.72,0.41,53.13,107h56m,-10.24,-0.66,200608
BRASÍLIA,161.59,-0.43,49.99,101h34m,-8.81,,200608
SÃO PAULO,169.62,-0.52,52.48,106h37m,,7.53,200608
JOÃO PESSOA,133.23,-0.68,41.22,83h45m,-7.86,-1.13,200608
FLORIANÓPOLIS,158.89,-0.89,49.16,99h52m,,7.95,200608
SALVADOR,133.75,-0.98,41.38,84h04m,-1.8,0.13,200608
ARACAJU,132.11,-1.43,40.87,83h02m,-9.08,-2.17,200608
CURITIBA,154.48,-2.14,47.79,97h06m,-12.68,-1.38,200608
GOIÂNIA,140.1,-2.32,43.34,88h04m,-6.05,-5.14,200608
VITÓRIA,147.67,-2.51,45.69,92h49m,-10.83,-2.06,200608
RIO DE JANEIRO,155.23,-2.79,48.03,97h34m,-12.84,-5.66,200608
RECIFE,130.87,-3.69,40.49,82h16m,-6.73,-2.52,200608
FORTALEZA,129.46,-3.98,40.05,81h22m,-2.69,-3.69,200608
NATAL,131.26,-4.36,40.61,82h30m,-3.43,-4.7,200608
BELÉM,145.54,-4.65,45.03,91h29m,-7.16,0.13,200608
RIO DE JANEIRO,163.33,5.22,50.53,102h40m,,8.29,200609
FLORIANÓPOLIS,164.76,3.69,50.97,103h34m,,4.55,200609
PORTO ALEGRE,177.68,3.47,54.97,111h41m,,7.12,200609
CURITIBA,158.36,2.51,48.99,99h32m,-10.49,0.2,200609
SÃO PAULO,172.1,1.46,53.24,108h11m,,6.18,200609
VITÓRIA,149.8,1.44,46.35,94h10m,,9.55,200609
SALVADOR,135.16,1.05,41.82,84h57m,-0.76,5.43,200609
RECIFE,131.66,0.6,40.73,82h45m,-6.16,1.11,200609
BELO HORIZONTE,161.17,0.58,49.86,101h18m,,8.88,200609
BRASÍLIA,162.36,0.48,50.23,102h03m,-8.37,2.28,200609
GOIÂNIA,140.46,0.26,43.46,88h17m,-5.81,-0.95,200609
BELÉM,144.69,-0.58,44.76,90h57m,-7.71,-0.57,200609
JOÃO PESSOA,132.23,-0.75,40.91,83h07m,-8.55,1.66,200609
ARACAJU,131.03,-0.82,40.54,82h22m,-9.82,-1.56,200609
NATAL,129.92,-1.02,40.19,81h40m,-4.41,-1.28,200609
FORTALEZA,126.15,-2.56,39.03,79h18m,-5.18,-4.75,200609
Belo Horizonte,172.27,6.89,53.3,108h17m,-2.61,9.32,200610
Vitória,157.91,5.41,48.85,99h15m,-4.65,3.36,200610
Florianópolis,173.36,5.22,53.63,108h58m,0.43,6.4,200610
São Paulo,179.74,4.44,55.61,112h59m,-2.01,2.84,200610
Curitiba,165.05,4.22,51.06,103h45m,-6.71,0.29,200610
João Pessoa,136.62,3.32,42.27,85h53m,-5.52,4.01,200610
Natal,134.23,3.32,41.53,84h22m,-1.24,1.91,200610
Goiânia,143.74,2.34,44.47,90h21m,-3.61,2.47,200610
Rio de Janeiro,166.75,2.09,51.59,104h49m,-6.37,1.39,200610
Belém,147.4,1.87,45.6,92h39m,-5.98,0.65,200610
Fortaleza,128.0,1.47,39.6,80h27m,-3.79,-1.48,200610
Porto Alegre,179.07,0.78,55.4,112h33m,-6.39,6.37,200610
Brasília,163.56,0.74,50.6,102h49m,-7.7,-0.73,200610
Salvador,134.52,-0.47,41.62,84h33m,-1.23,8.14,200610
Recife,130.62,-0.79,40.41,82h06m,-6.91,-0.62,200610
Curitiba,177.45,7.51,54.9,111h32m,0.3,2.82,200611
Rio de Janeiro,179.09,7.4,55.41,112h34m,0.56,1.58,200611
Porto Alegre,192.01,7.23,59.4,120h42m,0.37,7.51,200611
Brasília,173.74,6.22,53.75,109h12m,-1.95,0.43,200611
Aracaju,145.44,6.19,45.0,91h25m,0.1,5.06,200611
Belém,156.47,6.15,48.41,98h21m,-0.19,4.33,200611
Salvador,140.48,,43.46,88h18m,3.14,4.38,200611
Belo Horizonte,179.25,4.05,55.46,112h40m,1.34,4.05,200611
Goiânia,149.18,3.78,46.15,93h46m,0.04,2.95,200611
Vitória,163.84,3.76,50.69,102h59m,,1.07,200611
Recife,134.69,3.12,41.67,84h40m,-4.01,-4.67,200611
São Paulo,185.29,3.09,57.33,116h28m,1.01,0.34,200611
Florianópolis,178.29,2.84,55.16,112h04m,3.28,1.71,200611
Natal,137.78,2.64,42.63,86h36m,1.37,1.05,200611
Fortaleza,129.27,0.99,39.99,81h15m,-2.83,-0.8,200611
João Pessoa,135.61,-0.74,41.96,85h14m,-6.22,-0.43,200611
Natal,140.72,3.53,43.54,88h27m,,2.13,200612
Goiânia,152.44,2.23,47.16,95h49m,,2.19,200612
Belém,157.16,0.25,48.62,98h47m,,0.44,200612
Fortaleza,132.92,0.09,41.12,83h33m,,2.82,200612
São Paulo,182.05,0.75,56.32,114h26m,,,200612
Salvador,134.81,1.02,41.71,84h44m,,-4.04,200612
Florianópolis,168.7,2.33,52.16,105h59m,,,200612
Porto Alegre,186.23,2.65,57.62,117h04m,,-3.01,200612
Brasília,171.85,3.02,53.17,108h01m,,-1.09,200612
Belo Horizonte,171.49,-3.05,53.06,107h48m,,-4.33,200612
Rio de Janeiro,171.39,3.76,53.02,107h44m,,-4.3,200612
Vitória,158.17,-4.49,48.93,99h25m,,-3.46,200612
Curitiba,167.98,5.05,51.97,105h35m,,-5.34,200612
Aracaju,137.61,-5.29,42.57,86h30m,,-5.38,200612
Recife,132.14,5.82,40.88,83h04m,,,200612
João Pessoa,133.88,7.41,41.42,84h09m,,-1.28,200612
Vitória,168.99,6.84,52.28,106h13m,6.84,2.33,200701
João Pessoa,139.2,3.97,43.07,87h30m,3.97,5.85,200701
Recife,137.12,3.77,42.42,86h11m,3.77,8.8,200701
Aracaju,142.74,3.73,44.16,89h43m,3.73,5.67,200701
Rio de Janeiro,176.57,3.02,54.63,110h59m,3.02,2.18,200701
Belo Horizonte,176.24,2.77,54.53,110h47m,2.77,4.28,200701
Florianópolis,172.0,2.02,53.21,108h07m,2.02,8.03,200701
Salvador,137.24,1.8,42.46,86h16m,1.8,6.79,200701
Belém,159.49,1.48,49.34,100h15m,1.48,0.9,200701
São Paulo,184.72,1.47,57.15,116h07m,1.47,4.1,200701
Curitiba,170.29,1.38,52.68,107h02m,1.38,4.37,200701
Goiânia,154.48,1.34,47.79,97h06m,1.34,2.12,200701
Brasília,173.43,0.92,53.66,109h01m,0.92,-2.64,200701
Porto Alegre,186.36,0.07,57.66,117h08m,0.07,9.48,200701
Natal,137.71,-2.14,42.6,86h34m,,2.14,200701
Fortaleza,128.18,-3.57,39.66,80h34m,,3.57,200701
Fortaleza,142.93,11.51,44.22,89h51m,7.53,12.1,200702
Recife,148.92,8.61,46.07,93h36m,12.7,17.0,200702
Natal,145.81,5.88,45.11,91h39m,3.62,9.81,200702
