mes,data_referencia,ano,mes_num,capital,sigla_uf,capital_bruto,valor,var_mensal,pct_sal,tempo,tempo_em_horas,var_ano,var_12,flag_capital_variante,flag_conflito_capital_mes,flag_diverge_var_mensal,n_capitais_no_mes,periodo_cobertura,tipo_cesta,ipca_grupo,ipca_variavel,ipca_var_mensal_pct,ipca_tabela_sidra,ano_eleitoral_referencia,ano_eleitoral_presidente_referencia,ano_eleitoral_governador_referencia,tse_presidente_nm_candidato,tse_presidente_sg_partido,tse_presidente_nm_partido,tse_presidente_nm_coligacao,tse_governador_nm_candidato,tse_governador_sg_partido,tse_governador_nm_partido,tse_governador_nm_coligacao
200511,2005-11-01,2005,11,Aracaju,SE,ARACAJU,138.44,3.78,49.97,101h31m,101.51666666666667,5.43,7.38,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.88,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200512,2005-12-01,2005,12,Aracaju,SE,ARACAJU,145.3,10.65,52.45,106h33m,106.55,,4.96,True,False,True,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.27,655,2002,2002,2002,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,JOÃO ALVES FILHO,PFL,PARTIDO DA FRENTE LIBERAL,"COLIGAÇÃO JOÃO NA CABEÇA, SERGIPE NO CORAÇÃO"
200601,2006-01-01,2006,1,Aracaju,SE,ARACAJU,135.08,7.03,48.76,99h04m,99.06666666666666,,-7.03,True,False,True,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.11,655,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200602,2006-02-01,2006,2,Aracaju,SE,ARACAJU,133.41,1.24,48.15,97h50m,97.83333333333333,,-8.18,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.28,655,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200603,2006-03-01,2006,3,Aracaju,SE,ARACAJU,136.22,2.11,49.17,99h54m,99.9,-6.25,1.98,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.24,655,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200604,2006-04-01,2006,4,Aracaju,SE,ARACAJU,142.7,4.76,44.15,89h42m,89.7,-1.79,3.85,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.27,655,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200605,2006-05-01,2006,5,Aracaju,SE,ARACAJU,138.41,-3.01,42.82,87h00m,87.0,-4.74,-3.23,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.03,655,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200606,2006-06-01,2006,6,Aracaju,SE,ARACAJU,134.25,-3.01,41.53,84h23m,84.38333333333334,-7.6,-8.92,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,-0.61,655,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200607,2006-07-01,2006,7,Aracaju,SE,ARACAJU,134.03,-0.16,41.47,84h15m,84.25,-7.76,-4.21,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.09,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200608,2006-08-01,2006,8,Aracaju,SE,ARACAJU,132.11,-1.43,40.87,83h02m,83.03333333333333,-9.08,-2.17,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.07,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
