fonte_id,nome,url,era,data_hora_coleta,metodo,status_http,arquivo_bruto,quantidade_registros,observacoes
SIDRA-t58,"IPCA - Variação mensal (índice geral, grupos, subgrupos, itens e subitens)",https://apisidra.ibge.gov.br/values/t/58/n1/all/v/all/p/all/c72/1313,jan/1991 a jul/1999,2026-09-14T19:01:30.474212+00:00,API GET,200,C:\Users\Adri\Documents\TP_1_Ciencia de Dados\projeto\dados_brutos\sidra_t58_alimentacao_20260914_190130.json,102,Só a variação mensal do grupo Alimentação e bebidas (c72/1313)
SIDRA-t655,"IPCA - Variação mensal (índice geral, grupos, subgrupos, itens e subitens)",https://apisidra.ibge.gov.br/values/t/655/n1/all/v/all/p/all/c315/7170,ago/1999 a jun/2006,2026-09-14T19:01:30.474212+00:00,API GET,200,C:\Users\Adri\Documents\TP_1_Ciencia de Dados\projeto\dados_brutos\sidra_t655_alimentacao_20260914_190130.json,83,Só a variação mensal do grupo Alimentação e bebidas (c315/7170)
SIDRA-t2938,"IPCA - Variação mensal, acumulada no ano e peso mensal",https://apisidra.ibge.gov.br/values/t/2938/n1/all/v/all/p/all/c315/7170,jul/2006 a dez/2011,2026-09-14T19:01:30.474212+00:00,API GET,200,C:\Users\Adri\Documents\TP_1_Ciencia de Dados\projeto\dados_brutos\sidra_t2938_alimentacao_20260914_190130.json,66,Só a variação mensal do grupo Alimentação e bebidas (c315/7170)
SIDRA-t1419,"IPCA - Variação mensal, acumuladas e peso mensal",https://apisidra.ibge.gov.br/values/t/1419/n1/all/v/all/p/all/c315/7170,jan/2012 a dez/2019,2026-09-14T19:01:30.474212+00:00,API GET,200,C:\Users\Adri\Documents\TP_1_Ciencia de Dados\projeto\dados_brutos\sidra_t1419_alimentacao_20260914_190130.json,96,Só a variação mensal do grupo Alimentação e bebidas (c315/7170)
SIDRA-t7060,"IPCA - Variação mensal, acumuladas e peso mensal",https://apisidra.ibge.gov.br/values/t/7060/n1/all/v/all/p/all/c315/7170,jan/2020 ao mês mais recente,2026-09-14T19:01:30.474212+00:00,API GET,200,C:\Users\Adri\Documents\TP_1_Ciencia de Dados\projeto\dados_brutos\sidra_t7060_alimentacao_20260914_190130.json,80,Só a variação mensal do grupo Alimentação e bebidas (c315/7170)
